idx,word,occurrences
0,brush,498
1,hard,495
2,white,495
3,container,492
4,feet,482
5,included,480
6,oz,476
7,length,475
8,capsule,472
9,comes,469
10,smell,468
11,When,464
12,shoe,462
13,bag,462
14,around,459
15,could,458
16,Ive,458
17,sure,455
18,products,455
19,width,454
20,regular,450
21,strips,443
22,list,443
23,power,439
24,pads,437
25,soy,436
26,read,432
27,protein,430
28,tried,429
29,device,426
30,Any,424
31,actually,424
32,serving,420
33,skin,420
34,blades,419
35,case,415
36,brace,413
37,bed,411
38,thanks,409
39,listed,409
40,floor,407
41,cover,400
42,version,395
43,else,394
44,bottom,393
45,shower,393
46,Could,392
47,Amazon,392
48,Please,389
49,taste,386
50,left,386
51,ones,386
52,correct,384
53,give,383
54,support,382
55,stay,381
56,Anyone,381
57,heat,380
58,gel,379
59,another,375
60,able,375
61,getting,368
62,warranty,367
63,whats,366
64,place,366
65,blade,364
66,pill,364
67,etc,364
68,pair,362
69,ordered,361
70,lot,361
71,mop,360
72,medium,357
73,measure,355
74,year,354
75,available,354
76,test,353
77,diameter,351
78,black,351
79,shipped,350
80,reviews,348
81,turn,347
82,shows,347
83,strap,346
84,received,346
85,tablets,344
86,sugar,344
87,easy,344
88,area,344
89,legs,343
90,brand,343
91,glass,342
92,scale,342
93,compare,341
94,USA,341
95,socks,340
96,weigh,340
97,cut,338
98,front,338
99,purchased,337
100,got,337
101,ingredient,337
102,include,336
103,cord,335
104,Also,335
105,think,335
106,bags,333
107,So,331
108,actual,331
109,works,328
110,And,328
111,replace,323
112,shaver,322
113,night,321
114,sizes,320
115,said,320
116,leg,319
117,wondering,318
118,kit,318
119,teeth,317
120,dry,317
121,voltage,315
122,cold,313
123,liquid,313
124,instructions,312
125,show,311
126,hot,311
127,normal,311
128,blue,310
129,number,310
130,people,309
131,inch,309
132,face,309
133,original,307
134,look,306
135,supposed,304
136,first,303
137,days,303
138,little,303
139,oils,302
140,part,302
141,open,301
142,person,301
143,total,301
144,phone,300
145,tub,300
146,x,300
147,organic,299
148,servings,298
149,material,298
150,heads,297
151,packaging,297
152,floors,297
153,body,297
154,gelatin,296
155,compatible,296
156,soft,296
157,China,294
158,watch,294
159,full,293
160,Hello,293
161,looks,292
162,question,291
163,A,291
164,change,290
165,seems,289
166,life,288
167,plug,288
168,monitor,287
169,vitamin,287
170,instead,286
171,tall,285
172,possible,284
173,run,284
174,years,283
175,wax,283
176,toilet,283
177,trimmer,282
178,stand,281
179,cane,280
180,anything,280
181,cleaning,280
182,hand,279
183,base,279
184,outside,278
185,problem,276
186,count,275
187,natural,275
188,green,274
189,thick,274
190,months,274
191,add,271
192,spray,269
193,going,269
194,table,268
195,adjustable,267
196,clear,267
197,flavor,266
198,country,265
199,walker,264
200,boxes,263
201,recommend,261
202,arm,261
203,working,260
204,shave,260
205,rate,260
206,calf,259
207,cuff,258
208,red,258
209,In,257
210,results,256
211,car,256
212,every,255
213,wash,254
214,taking,254
215,We,252
216,wheels,252
217,exactly,252
218,packs,251
219,pain,250
220,cream,248
221,expire,248
222,expiry,247
223,u,245
224,wrist,245
225,wall,245
226,store,244
227,content,244
228,bad,244
229,B,243
230,heart,243
231,seem,243
232,mix,243
233,extra,242
234,today,241
235,leave,241
236,source,240
237,toothbrush,238
238,chart,237
239,strong,237
240,manufactured,237
241,short,236
242,There,236
243,even,236
244,wood,236
245,times,235
246,mine,235
247,formula,235
248,info,235
249,pillow,234
250,sizing,234
251,metal,234
252,TRUE,232
253,tablet,232
254,sold,232
255,shoes,231
256,often,231
257,neck,230
258,longer,230
259,One,227
260,fold,227
261,less,227
262,For,225
263,food,225
264,single,224
265,lower,223
266,wont,222
267,cost,221
268,form,221
269,found,221
270,low,221
271,room,220
272,thing,220
273,amount,220
274,shown,219
275,website,219
276,cups,218
277,needs,217
278,adapter,217
279,buying,217
280,charging,217
281,since,216
282,ie,216
283,contains,216
284,flat,215
285,answer,215
286,month,213
287,system,213
288,IS,212
289,opening,210
290,Did,210
291,vitamins,209
292,effective,208
293,easily,208
294,cleaner,208
295,apply,208
296,belt,206
297,trying,206
298,wet,205
299,cup,205
300,sleep,205
301,didnt,204
302,drops,204
303,US,203
304,refrigerated,203
305,air,203
306,thank,203
307,fish,203
308,rubber,203
309,photo,202
310,calcium,202
311,compression,202
312,away,201
313,standard,201
314,supplement,200
315,vegan,200
316,milk,200
317,far,200
318,shelf,198
319,ear,198
320,diffuser,198
321,heavy,197
322,real,197
323,capacity,196
324,tight,196
325,massage,196
326,current,195
327,send,195
328,chest,195
329,sound,194
330,hours,194
331,lbs,194
332,daily,193
333,provide,192
334,reading,192
335,came,192
336,calories,192
337,running,192
338,men,190
339,vs,190
340,three,190
341,Id,190
342,women,188
343,information,187
344,added,187
345,Have,187
346,lost,186
347,isnt,186
348,Should,185
349,Just,185
350,close,184
351,whey,184
352,scoop,184
353,alarm,184
354,Its,184
355,states,183
356,line,183
357,smaller,182
358,goes,181
359,electric,181
360,fits,181
361,confused,181
362,iron,181
363,may,181
364,bar,181
365,They,180
366,worn,180
367,upper,180
368,stuff,179
369,whole,179
370,C,179
371,stick,179
372,wheelchair,178
373,D,178
374,similar,177
375,pounds,176
376,end,176
377,tip,176
378,caffeine,175
379,limit,175
380,measurement,175
381,magnesium,175
382,already,174
383,drink,174
384,measurements,173
385,try,173
386,receive,173
387,grams,173
388,travel,172
389,company,172
390,ankle,172
391,stains,172
392,needed,171
393,start,170
394,THE,170
395,cap,170
396,trouble,170
397,waist,169
398,shaving,169
399,steel,169
400,charged,169
401,arms,169
402,fat,169
403,roll,168
404,plugged,168
405,swallow,168
406,carpet,168
407,percentage,167
408,fabric,166
409,makes,166
410,ok,166
411,refill,166
412,adjust,166
413,others,166
414,piece,165
415,half,165
416,You,165
417,im,164
418,rechargeable,163
419,soap,163
420,husband,163
421,directly,163
422,HX,163
423,exact,162
424,glasses,162
425,pressure,162
426,range,162
427,recommended,162
428,attach,161
429,mask,161
430,foam,161
431,advance,161
432,womens,161
433,problems,161
434,acid,160
435,solution,160
436,button,160
437,sell,159
438,washing,159
439,cushion,159
440,tips,159
441,switch,159
442,items,158
443,either,158
444,together,157
445,woman,157
446,odor,157
447,wrong,156
448,level,156
449,ago,156
450,prevent,155
451,anywhere,155
452,paper,154
453,wheel,154
454,accurate,154
455,hearing,154
456,let,153
457,noise,153
458,heating,152
459,lift,152
460,loud,152
461,temperature,152
462,coffee,151
463,vegetarian,151
464,feel,151
465,washable,150
466,larger,150
467,ice,150
468,mouth,149
469,uses,149
470,home,148
471,completely,148
472,Not,147
473,latex,147
474,understand,147
475,dark,147
476,great,147
477,timer,146
478,colors,146
479,animal,146
480,stainless,146
481,extract,146
482,strength,145
483,Mine,145
484,supply,145
485,weeks,145
486,next,144
487,mens,144
488,opened,144
489,lb,144
490,rest,144
491,suitable,144
492,option,144
493,week,143
494,require,143
495,fully,142
496,sit,142
497,shake,142
498,determine,142
499,expensive,141
500,tube,141
501,live,141
502,pure,141
503,stop,141
504,replaced,140
505,lose,140
506,waterproof,140
507,amazon,140
508,noticed,139
509,blood,139
510,Vitamin,139
511,control,139
512,beard,139
513,No,138
514,maximum,138
515,Some,138
516,clothes,138
517,directions,138
518,ever,138
519,sock,137
520,cause,137
521,parts,137
522,love,137
523,bucket,137
524,older,137
525,least,137
526,state,137
527,review,137
528,minutes,136
529,wrap,135
530,difficult,135
531,bit,135
532,bars,135
533,caps,134
534,door,133
535,making,132
536,mattress,132
537,never,132
538,essential,132
539,meter,132
540,recently,132
541,son,132
542,move,132
543,manual,132
544,tile,131
545,site,131
546,IT,131
547,scent,130
548,silver,130
549,straws,130
550,specific,130
551,fine,130
552,GMO,129
553,band,129
554,warm,129
555,thin,129
556,sealed,128
557,alcohol,128
558,artificial,128
559,seal,128
560,gloves,128
561,based,128
562,shoulder,128
563,name,127
564,pump,127
565,tea,127
566,taken,127
567,confirm,127
568,always,126
569,several,126
570,man,126
571,lid,126
572,quality,126
573,lights,126
574,removed,126
575,bowl,125
576,dairy,125
577,due,125
578,ounces,125
579,loose,125
580,seen,125
581,flavors,125
582,computer,125
583,attached,125
584,lock,124
585,sitting,124
586,concerned,124
587,kids,123
588,pull,123
589,hose,123
590,dose,123
591,toe,123
592,handles,123
593,must,123
594,yet,122
595,brushes,122
596,bath,121
597,straight,121
598,hi,121
599,folded,121
600,tank,121
601,heard,121
602,dog,121
603,title,121
604,stock,121
605,S,121
606,lighter,121
607,whether,120
608,volts,119
609,ball,119
610,post,119
611,adult,119
612,issues,118
613,deep,118
614,individually,118
615,steam,118
616,THIS,118
617,active,118
618,removable,117
619,certified,117
620,non,117
621,ask,117
622,comfortable,117
623,mixed,117
624,almost,117
625,offer,117
626,display,116
627,separately,116
628,anybody,116
629,suggestions,116
630,dates,115
631,AA,115
632,changed,115
633,pictures,114
634,loss,114
635,NOT,114
636,sodium,114
637,usually,114
638,money,114
639,break,114
640,rid,114
641,On,113
642,surface,113
643,carry,113
644,clipper,113
645,eye,113
646,nothing,113
647,Am,113
648,fiber,113
649,ordering,112
650,compared,112
651,average,112
652,check,112
653,pictured,111
654,origin,111
655,But,111
656,laces,111
657,wearing,111
658,DHA,110
659,coming,110
660,pretty,110
661,nose,110
662,massager,110
663,carbs,110
664,selling,110
665,page,110
666,shut,110
667,guard,110
668,double,110
669,setting,109
670,yellow,109
671,pick,109
672,sides,109
673,corn,109
674,hands,109
675,detergent,109
676,experience,108
677,individual,108
678,hear,108
679,done,108
680,heel,108
681,wanted,108
682,data,107
683,answers,107
684,four,107
685,complete,107
686,notice,107
687,bathroom,107
688,w,106
689,Need,106
690,scooter,106
691,fill,106
692,cloth,106
693,pairs,105
694,thats,105
695,walking,105
696,sleeve,105
697,cheaper,105
698,means,105
699,swallowing,105
700,sounds,105
701,wrapped,105
702,FDA,105
703,pound,105
704,balls,105
705,pieces,105
706,house,105
707,sink,105
708,edge,105
709,choose,105
710,worth,104
711,morning,104
712,idea,104
713,fragrance,103
714,dishwasher,103
715,facial,103
716,fresh,103
717,distance,103
718,saw,103
719,manufacturer,103
720,baby,102
721,series,102
722,quantity,102
723,yes,101
724,chocolate,101
725,fast,101
726,expired,101
727,Free,101
728,listing,101
729,separate,101
730,L,101
731,kitchen,100
732,round,100
733,broken,100
734,Pro,100
735,daughter,100
736,max,100
737,push,100
738,thigh,99
739,braces,99
740,Plus,99
741,plus,99
742,things,99
743,approved,99
744,sensitive,99
745,frame,98
746,stain,98
747,bulb,98
748,figure,98
749,rests,98
750,lamp,98
751,entire,97
752,okay,97
753,mold,97
754,V,97
755,brown,97
756,return,97
757,tape,96
758,rather,96
759,sheet,96
760,sized,96
761,soon,96
762,muscle,96
763,derived,96
764,grade,96
765,Braun,95
766,DOES,95
767,tray,95
768,pen,95
769,holder,95
770,models,95
771,After,95
772,hole,95
773,age,95
774,laminate,94
775,BPA,94
776,+,94
777,step,94
778,told,94
779,lens,94
780,mention,94
781,Product,94
782,position,94
783,lead,94
784,exp,93
785,b,93
786,aid,93
787,eat,93
788,AC,93
789,Dr,93
790,drop,92
791,lotion,92
792,discreet,92
793,basket,92
794,point,92
795,calves,92
796,behind,92
797,copper,92
798,quickly,92
799,laundry,92
800,microwave,92
801,hardwood,92
802,solid,92
803,attachment,92
804,turned,91
805,contents,91
806,wonder,91
807,avoid,91
808,diet,91
809,dryer,91
810,outlet,91
811,refills,91
812,Wahl,91
813,boot,91
814,specifically,90
815,washed,90
816,might,90
817,velcro,90
818,Europe,90
819,cool,90
820,seller,90
821,second,90
822,ramp,90
823,thought,90
824,guarantee,90
825,trim,90
826,clippers,90
827,Panasonic,89
828,tubes,89
829,damage,89
830,storage,89
831,protect,89
832,apart,89
833,units,89
834,As,89
835,mentioned,89
836,dogs,88
837,amounts,88
838,volt,88
839,insert,88
840,ounce,88
841,currently,88
842,fix,87
843,tested,87
844,nutritional,87
845,code,87
846,allow,87
847,delivery,87
848,packages,87
849,WHAT,87
850,tooth,87
851,DO,87
852,jar,86
853,stored,86
854,female,86
855,child,86
856,finish,86
857,eyes,86
858,mom,86
859,reach,86
860,E,85
861,slide,85
862,automatically,85
863,numbers,85
864,polish,85
865,washer,85
866,hairs,85
867,HOW,85
868,recharge,85
869,thinking,85
870,lip,85
871,All,85
872,Since,85
873,placed,84
874,foil,84
875,levels,84
876,narrow,84
877,dual,84
878,That,84
879,M,84
880,thickness,84
881,explain,84
882,v,84
883,gets,84
884,pay,84
885,children,84
886,containers,84
887,stores,83
888,screw,83
889,app,83
890,colored,83
891,broke,83
892,fake,83
893,male,83
894,raw,83
895,called,83
896,sturdy,82
897,filter,82
898,pork,82
899,packaged,82
900,worked,82
901,screen,82
902,issue,82
903,mother,82
904,everything,82
905,settings,82
906,saying,81
907,These,81
908,Who,81
909,touch,81
910,speed,81
911,required,81
912,drain,81
913,contact,81
914,care,81
915,roller,81
916,comb,81
917,synthetic,81
918,attachments,80
919,sleeping,80
920,swelling,80
921,hurt,80
922,putting,80
923,particular,80
924,feature,80
925,Sonicare,80
926,F,80
927,andor,80
928,Oil,80
929,Like,80
930,circumference,79
931,past,79
932,ring,79
933,safety,79
934,XL,79
935,period,79
936,sent,79
937,function,79
938,space,79
939,Philips,79
940,health,79
941,smells,79
942,onto,79
943,online,79
944,warmer,79
945,supplements,79
946,couple,78
947,OK,78
948,necessary,78
949,kept,78
950,interested,78
951,paint,78
952,mAh,78
953,within,78
954,coated,78
955,strip,78
956,knees,78
957,main,78
958,image,77
959,smooth,77
960,ground,77
961,lenses,77
962,lids,77
963,adhesive,77
964,May,77
965,cycle,77
966,special,76
967,sheets,76
968,stevia,76
969,Ingredients,76
970,juice,76
971,matter,76
972,razors,76
973,versus,76
974,important,76
975,walk,76
976,salt,76
977,hello,76
978,track,76
979,kill,76
980,dosage,75
981,areas,75
982,orange,75
983,Gluten,75
984,removing,75
985,energy,75
986,Looking,75
987,Whey,75
988,HE,75
989,memory,75
990,Model,74
991,toes,74
992,workout,74
993,Help,74
994,vinyl,74
995,ml,74
996,load,74
997,sleeves,74
998,appropriate,74
999,pic,74
1000,c,74
1001,operated,73
1002,Made,73
1003,pole,73
1004,measures,73
1005,AND,73
1006,straps,73
1007,milligrams,73
1008,replaceable,73
1009,suppose,73
1010,measuring,73
1011,words,73
1012,safely,73
1013,Black,72
1014,shape,72
1015,finger,72
1016,firm,72
1017,dispenser,72
1018,AAA,72
1019,wipes,72
1020,though,72
1021,along,72
1022,certain,72
1023,dimension,71
1024,empty,71
1025,aids,71
1026,extended,71
1027,cordless,71
1028,flexible,71
1029,auto,71
1030,coconut,71
1031,mm,71
1032,holes,71
1033,sensor,71
1034,style,71
1035,advise,71
1036,overall,71
1037,process,70
1038,user,70
1039,middle,70
1040,dropper,70
1041,shakes,70
1042,curious,70
1043,reason,70
1044,CAN,70
1045,properly,70
1046,twice,70
1047,furniture,70
1048,besides,70
1049,effect,70
1050,cartridge,70
1051,vanilla,70
1052,rice,69
1053,Size,69
1054,arch,69
1055,missing,69
1056,however,69
1057,appears,69
1058,pink,69
1059,T,69
1060,software,69
1061,takes,69
1062,cat,69
1063,given,69
1064,Expiration,69
1065,connect,69
1066,portable,69
1067,septic,68
1068,recovery,68
1069,guide,68
1070,advertised,68
1071,dissolve,68
1072,carrier,68
1073,stated,68
1074,gallon,68
1075,adjusted,68
1076,guys,68
1077,fall,68
1078,K,68
1079,brands,68
1080,design,68
1081,increase,68
1082,worried,68
1083,applied,68
1084,urine,68
1085,stopped,68
1086,TV,68
1087,filters,68
1088,bacteria,68
1089,prescription,68
1090,especially,68
1091,From,68
1092,multiple,68
1093,stomach,67
1094,machines,67
1095,Now,67
1096,additional,67
1097,Ultra,67
1098,indicate,67
1099,dust,67
1100,perfume,67
1101,wait,67
1102,chemical,67
1103,cable,67
1104,freeze,67
1105,purpose,67
1106,elongated,67
1107,release,67
1108,Polar,67
1109,rinse,67
1110,proof,67
1111,readings,66
1112,reviewer,66
1113,including,66
1114,sort,66
1115,ears,66
1116,wears,66
1117,super,66
1118,covers,66
1119,ft,66
1120,plugs,66
1121,LED,66
1122,reduce,66
1123,gold,66
1124,card,66
1125,mini,66
1126,Pack,66
1127,spots,66
1128,mist,66
1129,purchasing,66
1130,Australia,66
1131,leak,66
1132,rust,65
1133,clock,65
1134,youre,65
1135,plates,65
1136,whitening,65
1137,bigger,65
1138,us,65
1139,mat,65
1140,rating,65
1141,X,65
1142,asked,65
1143,prefer,65
1144,plant,65
1145,hoping,65
1146,belly,65
1147,benefits,65
1148,differences,65
1149,aluminum,65
1150,softgels,65
1151,effects,64
1152,details,64
1153,chemicals,64
1154,sweeteners,64
1155,grout,64
1156,screws,64
1157,comments,64
1158,square,64
1159,rollers,64
1160,mgs,64
1161,cutting,64
1162,showing,63
1163,Many,63
1164,cholesterol,63
1165,positive,63
1166,ad,63
1167,rail,63
1168,weights,63
1169,bristles,63
1170,USB,63
1171,bleach,63
1172,sports,63
1173,iodine,63
1174,Organic,63
1175,customer,62
1176,confusing,62
1177,Large,62
1178,kosher,62
1179,silicone,62
1180,higher,62
1181,questions,62
1182,Norelco,62
1183,burn,62
1184,instruction,62
1185,counter,62
1186,clothing,62
1187,Cant,62
1188,Was,62
1189,shine,62
1190,select,62
1191,input,62
1192,cell,62
1193,Standard,62
1194,syringes,61
1195,trimming,61
1196,clip,61
1197,volume,61
1198,play,61
1199,near,61
1200,remote,61
1201,center,61
1202,considered,61
1203,measured,61
1204,potassium,61
1205,degrees,61
1206,started,61
1207,install,61
1208,ideas,61
1209,theyre,61
1210,combs,61
1211,doctor,61
1212,refrigerator,61
1213,Magnesium,61
1214,assembly,60
1215,syringe,60
1216,Canada,60
1217,fruit,60
1218,seeing,60
1219,marks,60
1220,Omega,60
1221,example,60
1222,wheat,60
1223,experienced,60
1224,print,60
1225,Anybody,60
1226,trays,60
1227,broom,60
1228,commode,60
1229,book,60
1230,minute,59
1231,leather,59
1232,elbow,59
1233,Power,59
1234,steps,59
1235,plan,59
1236,gift,59
1237,freezer,59
1238,helpful,59
1239,basketball,59
1240,Powder,59
1241,exercise,59
1242,automatic,59
1243,refrigeration,59
1244,temp,59
1245,packets,59
1246,reviewers,59
1247,quite,59
1248,hip,59
1249,Description,59
1250,sweetener,59
1251,asking,58
1252,filled,58
1253,Battery,58
1254,surgery,58
1255,eg,58
1256,EPA,58
1257,Thx,58
1258,bench,58
1259,stool,58
1260,theres,58
1261,arent,58
1262,pulse,58
1263,office,58
1264,With,58
1265,lines,58
1266,discontinued,58
1267,choice,57
1268,address,57
1269,To,57
1270,UK,57
1271,across,57
1272,nice,57
1273,swivel,57
1274,later,57
1275,spot,57
1276,sucralose,57
1277,blend,57
1278,depth,57
1279,lactose,57
1280,program,57
1281,pet,57
1282,believe,57
1283,bulk,57
1284,peroxide,57
1285,reusable,57
1286,gels,57
1287,Nutrition,57
1288,insoles,57
1289,closed,57
1290,stays,56
1291,chin,56
1292,swim,56
1293,TO,56
1294,deal,56
1295,hour,56
1296,affect,56
1297,value,56
1298,tests,56
1299,permanent,56
1300,slip,56
1301,logo,56
1302,ready,56
1303,delivered,56
